"sample_index","timestamp_utc","elapsed_seconds","pid","parent_pid","process_name","instance_key","event","cpu_total_seconds","working_set_bytes","private_bytes","error"
"1","2026-09-12T05:26:37.4771455Z","1.738313","67832","60760","conhost.exe","67832:639247875969048440","SampleFailed",,,,"Cannot find a process with the process identifier 67832."
"1","2026-09-12T05:26:37.4832712Z","1.743044","60760","117368","UnrealTraceServer.exe","60760:639247875968860420","SampleFailed",,,,"Cannot find a process with the process identifier 60760."
"1","2026-09-12T05:26:37.5184519Z","1.778239","117368","27016","UnrealEditor","117368:639247875957124820","New","1.171875","397348864","407736320",""
"2","2026-09-12T05:26:39.0232665Z","3.283065","67832","60760","conhost.exe","67832:639247875969048440","Exited",,,,""
"2","2026-09-12T05:26:39.0234743Z","3.283257","60760","117368","UnrealTraceServer.exe","60760:639247875968860420","Exited",,,,""
"2","2026-09-12T05:26:39.0459013Z","3.305700","117368","27016","UnrealEditor","117368:639247875957124820","Sample","1.687500","757915648","803381248",""
"3","2026-09-12T05:26:40.4877920Z","4.747603","117368","27016","UnrealEditor","117368:639247875957124820","Sample","2.687500","936292352","980590592",""
"4","2026-09-12T05:26:41.8883609Z","6.148184","117368","27016","UnrealEditor","117368:639247875957124820","Sample","7.531250","1054994432","1106038784",""
"5","2026-09-12T05:26:43.3534147Z","7.613255","117368","27016","UnrealEditor","117368:639247875957124820","Sample","9.484375","1467965440","1538273280",""
"6","2026-09-12T05:26:44.8104521Z","9.070303","117368","27016","UnrealEditor","117368:639247875957124820","Sample","10.093750","1658118144","1669750784",""
"7","2026-09-12T05:26:46.4334201Z","10.693287","117368","27016","UnrealEditor","117368:639247875957124820","Sample","11.500000","1908240384","1882652672",""
"8","2026-09-12T05:26:48.1876779Z","12.447564","117368","27016","UnrealEditor","117368:639247875957124820","Sample","16.734375","2494439424","2607558656",""
"9","2026-09-12T05:26:49.9002136Z","14.160115","117368","27016","UnrealEditor","117368:639247875957124820","Sample","18.531250","3076218880","3349323776",""
"10","2026-09-12T05:26:51.6715329Z","15.931448","117368","27016","UnrealEditor","117368:639247875957124820","Sample","22.062500","3288072192","3559518208",""
"11","2026-09-12T05:26:53.3475555Z","17.607486","117368","27016","UnrealEditor","117368:639247875957124820","Sample","24.312500","3290468352","3560071168",""
"12","2026-09-12T05:26:54.9219418Z","19.181888","117368","27016","UnrealEditor","117368:639247875957124820","Sample","26.250000","3293835264","3472338944",""
"13","2026-09-12T05:26:56.5275192Z","20.787498","117368","27016","UnrealEditor","117368:639247875957124820","Sample","28.468750","3295494144","3472601088",""
"14","2026-09-12T05:26:58.1270279Z","22.387006","117368","27016","UnrealEditor","117368:639247875957124820","Sample","30.484375","3227054080","3400527872",""
"15","2026-09-12T05:26:59.6291980Z","23.889189","117368","27016","UnrealEditor","117368:639247875957124820","Sample","32.250000","3226710016","3398692864",""
"16","2026-09-12T05:27:01.1060337Z","25.366038","117368","27016","UnrealEditor","117368:639247875957124820","Sample","33.515625","3241590784","3419049984",""
